instruction,context,response,category
Should a human be happy all the time?,,"Answer 1: Happiness is not only subjective but also temporal - what brought you joy 2 years ago might be boring/unpleasant now. So, instead of optimizing for happiness at a given time, it might actually be better to realize what makes us feel down or not content and avoid them. By avoiding such circumstances/conditions, we can be content and maybe that's what need in life: not strive to be happy all the time but avoid what we truly don't like so that happiness takes care of its own.

Answer 2: Yes! Life is too short to get caught in dull moments so a human needs to optimize for maximum happiness. The definition of happiness differs and that's ok; we all live once and we should spend our time looking for new things that make us happier.

Answer 3: No. Most meaningful lessons in life are learned in situations when we're not particularly happy: Loss of a close person, financial break downs, unexpected health conditions. Getting through these hard times is actually makes a person stronger and more prepared for other calamities in life. We should not strive to be happy ""all the time"" -  instead we should take things as they come. In life, there is a need for moments of discontent as well as a need for moments of joy.",general_qa
What is the oldest film set in ancient Egypt?,,The oldest film set in ancient Egypt is from 1899! Cléopâtre from director Georges Méliès.,brainstorming
What are all the way one can travel from Boston to Philadelphia,,"There are 3 mutually exclusive means of transport.
1. Air
2. Land
3. Sea

Within each option one can list a range of options. For example:
1. Air: take a commercial flight; take a private jet; fly yourself; take a hot air balloon, etc.
2. Land: walk, run, drive, ride a bus, ride a bike, ride a motorcycle, hitch hike, use a roller skate, train, etc.
3. Sea: swim, ride a personal boat, take a commercial boat ride, etc.",brainstorming
What is the month of Ramadan?,,"Ramadan is a month in the Islamic Hijri Calendar. During this month Muslims fast from sunrise to sunset. While fasting, Muslims abstain from eating, drinking as well as sexual interaction. They are encouraged to do as many good deeds as they could during the month such as giving away food, money, clothes etc. It is also a month of prayers, rituals and community. Right after Ramadan comes Eid el Fitr which is one of the two biggest celebrations that Muslims observe during the year.",general_qa
Who is Doom Guy?,"The Doomguy (also spelt Doom Guy, as well as referred to as the Doom Marine, Doom Slayer or just the Slayer in Doom (2016) and Doom Eternal) is a fictional character and the protagonist of the Doom video game franchise of first-person shooters created by id Software. He was created by American video game designer John Romero. He was introduced as the player character in the original 1993 video game Doom. Within the Doom series, Doomguy is a demon hunter space marine dressed in green combat armor who rarely speaks onscreen, and his personality and backstory were intentionally vague to reinforce his role as a player avatar. In Doom Eternal, he is voiced by American voice actor Matthew Waterson, while Jason Kelley voices the character in that game's downloadable content The Ancient Gods: Part Two. He has appeared in several other games developed by id Software, including Quake Champions and Quake III Arena.",Doom Guy was created by John Romero as the fictional protagonist of the Doom video game. In the game he is a demon hunter space marine dressed in green combat armor.,information_extraction
When and where was Nero born?,"Nero Claudius Caesar Augustus Germanicus (/ˈnɪəroʊ/ NEER-oh; born Lucius Domitius Ahenobarbus; 15 December AD 37 – 9 June AD 68), was the fifth Roman emperor and final emperor of the Julio-Claudian dynasty, reigning from AD 54 until his death in AD 68. He was adopted by the Roman emperor Claudius at the age of 13 and succeeded him on the throne. Nero was popular with the members of his Praetorian Guard and lower-class commoners in Rome and its provinces, but he was deeply resented by the Roman aristocracy. Most contemporary sources describe him as tyrannical, self-indulgent, and debauched. After being declared a public enemy by the Roman Senate, he committed suicide at age 30.

Nero was born at Antium in AD 37, the son of Gnaeus Domitius Ahenobarbus and Agrippina the Younger, a great-granddaughter of the emperor Augustus. When Nero was two years old, his father died. His mother married the emperor Claudius, who eventually adopted Nero as his heir; when Claudius died in AD 54, Nero became emperor with the support of the Praetorian Guard and the Senate. In the early years of his reign Nero was advised and guided by his mother Agrippina, his tutor Seneca the Younger, and his praetorian prefect Sextus Afranius Burrus, but he soon sought to rule independently and to rid himself of restraining influences. His power struggle with his mother was eventually resolved when he had her murdered. Roman sources also implicate Nero in the deaths of his wife Claudia Octavia – supposedly so that he could marry Poppaea Sabina – and of his step brother Britannicus.

Nero's practical contributions to Rome's governance focused on diplomacy, trade, and culture. He ordered the construction of amphitheaters, and promoted athletic games and contests. He also made public appearances as an actor, poet, musician, and charioteer, which scandalised his aristocratic contemporaries as these occupations were usually the domain of slaves, public entertainers and infamous persons. The provision of such entertainments made Nero popular among lower-class citizens, but his performances undermined the Imperial dignity. The costs involved were borne by local elites either directly or through taxation, and were much resented.

During Nero's reign, the general Corbulo fought the Roman–Parthian War of 58–63, and made peace with the hostile Parthian Empire. The Roman general Suetonius Paulinus quashed a major revolt in Britain led by the Iceni's queen Boudica. The Bosporan Kingdom was briefly annexed to the empire, and the First Jewish–Roman War began. When the Roman senator Vindex rebelled, with support from the eventual Roman emperor Galba, Nero was declared a public enemy and condemned to death in absentia. He fled Rome, and on 9 June AD 68 he committed suicide. His death sparked a brief period of civil war known as the Year of the Four Emperors.

Most Roman sources offer overwhelmingly negative assessments of his personality and reign. The historian Tacitus claims the Roman people thought him compulsive and corrupt. Suetonius tells that many Romans believed that the Great Fire of Rome was instigated by Nero to clear land for his planned ""Golden House"". Tacitus claims that Nero seized Christians as scapegoats for the fire and had them burned alive, seemingly motivated not by public justice but by personal cruelty. Some modern historians question the reliability of the ancient sources on Nero's tyrannical acts, considering his popularity among the Roman commoners. In the eastern provinces of the Empire, a popular legend arose that Nero had not died and would return. After his death, at least three leaders of short-lived, failed rebellions presented themselves as ""Nero reborn"" in order to gain popular support.

Early life
Nero was born Lucius Domitius Ahenobarbus on 15 December 37 AD in Antium (modern Anzio).: 87  He was an only-child, the son of the politician Gnaeus Domitius Ahenobarbus and Agrippina the Younger. His mother Agrippina was the sister of the third Roman emperor Caligula.: 5  Nero was also the great-great-grandson of former emperor Augustus (descended from Augustus' only daughter, Julia).: 2 

The ancient biographer Suetonius, who was critical of Nero's ancestors, wrote that emperor Augustus had reproached Nero's grandfather for his unseemly enjoyment of violent gladiator games. According to Jürgen Malitz, Suetonius tells that Nero's father was known to be ""irascible and brutal"", and that both ""enjoyed chariot races and theater performances to a degree not befitting their position"".: 3  Suetonius also mentions that when Nero's father Domitius was congratulated by his friends for the birth of his son, he replied that any child born to him and Agrippina would have a detestable nature and become a public danger.

Domitius died in 40 AD. A few years before his father's death, his father was involved in a serious political scandal.: 3  His mother and his two surviving sisters, Agrippina and Julia Livilla, were exiled to a remote island in the Mediterranean Sea.: 4  His mother was said to have been exiled for plotting to overthrow the emperor Caligula. Nero's inheritance was taken from him, and he was sent to live with his paternal aunt Domitia Lepida the Younger, the mother of later emperor Claudius's third wife, Messalina.: 11 


An aureus of Nero and his mother, c. 54. Caption: NERONIS CAES MATER AGRIPP. AVG. DIVI CLAVD. / NERONI CLAVD. DIVI F. CAES. AVG. GERM. IMP. TR. P. – EX SC
After Caligula's death, Claudius became the new Roman Emperor. Nero's mother married Claudius in 49 AD, becoming his fourth wife. By February, 49 AD, his mother had persuaded Claudius to adopt her son Nero.

After Nero's adoption by the emperor, ""Claudius"" became part of his name: Nero Claudius Caesar Drusus Germanicus. Claudius had gold coins issued to mark the adoption.: 119  Classics professor Josiah Osgood has written that ""the coins, through their distribution and imagery alike, showed that a new Leader was in the making."": 231  However, David Shotter noted that, despite events in Rome, Nero's step-brother Britannicus was more prominent in provincial coinages during the early 50s.: 52 

Bust of Nero, National Museum in Oslo
Nero formally entered public life as an adult in 51 AD at approximately 14 years old.: 51  When he turned 16, Nero married Claudius' daughter (his step-sister), Claudia Octavia. Between the years 51 AD and 53 AD, he gave several speeches on behalf of various communities, including the Ilians; the Apameans (requesting a five-year tax reprieve after an earthquake); and the northern colony of Bologna, after their settlement had suffered a devastating fire.: 231 

Claudius died in 54 AD; many ancient historians claim that he was poisoned by Agrippina. Shotter has written that ""Claudius' death in 54 AD has usually been regarded as an event hastened by Agrippina due to signs that Claudius was showing a renewed affection for his natural son"". He also notes that among ancient sources, the Roman historian Josephus was uniquely reserved in describing the poisoning as a rumor.: 53 

Contemporary sources differ in their accounts of the poisoning. Tacitus says that the poison-maker Locusta prepared the toxin, which was served to the Emperor by his servant Halotus. Tacitus also writes that Agrippina arranged for Claudius' doctor Xenophon to administer poison, in the event that the Emperor survived.: 53  Suetonius differs in some details, but also implicates Halotus and Agrippina. Like Tacitus, Cassius Dio writes that the poison was prepared by Locusta, but in Dio's account it is administered by Agrippina instead of Halotus. In Apocolocyntosis, Seneca the Younger does not mention mushrooms at all.: 54  Agrippina's involvement in Claudius' death is not accepted by all modern scholars.: 589 

Before Claudius' death, Agrippina had maneuvered to remove Claudius' sons' tutors in order to replace them with tutors that she had selected. She was also able to convince Claudius to replace two prefects of the Praetorian Guard (who were suspected of supporting Claudius' son) with Afranius Burrus (Nero's future guide).: 13  Since Agrippina had replaced the guard officers with men loyal to her, Nero was subsequently able to assume power without incident.: 417","Nero was born at Antium (modern day Anzio, Italy) on December, 15th 37 AD.",closed_qa
United Nation General Assembly has declared the year 2023 as,,The International Year of Millet,open_qa
I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?,,"Firstly , fly to Delhi or Chandigarh. These cities are well connected via flights from across the world.  Next , take an overnight bus to Manali.  There are ample buses available connecting Manali from any cities.  Spend 4 days of your time  enjoying local cuisine and sight seeing.   Do carry wollens  as temperature drops sub zero during the night. Next , head towards Shimla and spend 2 days here for local sightseeing enjoying marvels of British architectures and old mall road.  Wrap up your trip travelling back to Delhi or Chandigarh. Spend time doing some local shopping before you fly back home.",general_qa
Who started Belu?,"Belu was founded in 2004 by film maker Reed Paget as a bottled water business with an aim to be an environmentally friendly alternative to other beverages on the market. Before launching Belu, Paget was a keen environmentalist in business communities, encouraging others in the drinks industry to consider the environmental impact of sourcing, manufacturing and packaging. Early stage investors in Belu included Body Shop co-founder Gordon Roddick, environmentalist Ben Goldsmith and hedge fund manager, Chris Cooper-Hohn",Reed Paget founded Belu in 2004.,information_extraction
Who composed The Planets suit (both names),,Gustav Holst,open_qa
"Classify each of the following as either a country or a city: Sweden, France, Paris, Bali, Rotterdam, Seville, India, San Fransisco, Amritsar, Portugal",,"Countries: Sweden, France, India, Portugal
Cities: Paris, Bali, Rotterdam,Seville,San Fransisco, Amritsar",classification
Who was Bosch's dad?,"Bosch's mother was a prostitute in Hollywood who was murdered on October 28, 1961, when Bosch was 11 years old. His father, who he met later in life, was Mickey Haller Sr., a prominent defense attorney known for representing mobster Mickey Cohen, among other clients.",Bosch's father was Mickey Haller Sr. a well known defense lawyer.,information_extraction
Where did Father's Day originate?,,"Father's Day was founded in Spokane, Washington.",open_qa
What is the Maareech Advanced Torpedo Defence System (ATDS)?,"Maareech Advanced Torpedo Defence System (ATDS) is a torpedo detection and countermeasure system used by the Indian Navy. The system offers a complete solution to detect and locate an incoming torpedo and to apply countermeasures to protect naval platform against torpedo attack. It was developed as a joint project of the Naval Physical and Oceanographic Laboratory (NPOL), Kochi and the Naval Science and Technological Laboratory (NSTL), Visakhapatnam. Bharat Electronics is manufacturing it India.",The Maareech Advanced Torpedo Defence System (ATDS is a torpedo detection and countermeasure system used by the Indian Navy.,information_extraction
Extract the names of the cities and rank them in alphabetical order?,"The United Kingdom is a constitutional monarchy and parliamentary democracy. Its capital and largest city is London, the capital of England, a global city and financial centre with a population of over 14 million people. Edinburgh, Cardiff and Belfast are the national capitals of Scotland, Wales and Northern Ireland respectively.","The cities listed in alphabetical order are Belfast, Cardiff, Edinburgh and London.",information_extraction
"Given this paragraph about Mohamed Fourati, at what age was he appointed as hospital assistant?","A year after getting his philosophy baccalaureate in his native town Sfax, Mohamed Fourati moved to Lille (France) to pursue his graduate education in the medical school of Lille. In order to validate his studies, he became an intern in the Farhat-Hachad Hospital of Sousse. Traveling between the two continents, he secured, in 1959, a medical doctorate at the medical school of Lille. He performed his military service, the following year, in the region of El Kef (in north-eastern Tunisia) and in Kébili (southern Tunisia). He continued to specialize in thoracic and cardiovascular surgery at the Saint-Joseph Hospital of Paris. He got assigned to the general surgery unit of doctors Saïd Mestiri and Zouhair Essafi at the Habib-Thameur Hospital in Tunis. In 1961, over the month of July, he worked as a surgeon in the battle of Bizerte, performing surgery on patients 20 hours a day for many days. He got appointed as hospital assistant in 1966, then earned the title of chief physician of the surgical ward in the Habib-Thameur Hospital in May 1968 and became, at the age of 35, the youngest chief physician in Tunisia. In November of the same year, he performed the first open-heart surgery, favored by a delegation of doctors of the IFTHD (led by Charles Hahn of the Cantonal hospital of Geneva (Switzerland) ).","He was appointed hospital assistant in 1966. In 1968, he was 35 years old. So in 1966, he was 33 years old.",closed_qa
What are 3 things to consider when picking a mountain to ski at?,,"Here are 3 things you should consider when picking a mountain visit: 
* Skill level - some mountains have runs that are better suited toward beginners or experts.
* Conditions - some mountains might have gotten better or worse snow throughout the season. Weather can vary widely as well on any given day, so be sure to check ahead of time. 
* Budget - the prices of ski lift tickets and ski gear can vary widely, check to see if each mountain fits your criteria to have a good day on the slopes.",general_qa
"Which of these books were written by James Michener and which were written by Ian McEwan: Tales of the South Pacific, Saturday, Atonement, The Children Act, Hawaii, Texas, On Chesil Beach, and Alaska.",,"The books by James Michener are Tales of the South Pacific, Hawaii, Texas, and Alaska, and Ian McEwan wrote Saturday, Atonement, The Children Act, and On Chesil Beach.",classification
Propose a text about young boy that wanted to fly his kite over the skyscrapers. Make this a very positive story with a twist,,"Bob is a fun a loving kid that spends lots of his free time outdoors. Whenever there is a good wind he takes his kite, a gift from his dad, and goes out to play and fly. One day his dad was going to a very big city to talk with some of his partners. Bob got immediately very excited. It was his dream to take his kite and fly it from one of the very big and tall buildings. His dad made this all happen. Together with his son they went on the roof and played with the kite.",creative_writing
"When being in cold weather, categorize each of the following as ""Useful"" or ""Not Useful"": Coat, Air Condition, Ice, Beanie, Pants, Bikini",,"Coat: Useful
Air Condition: Not Useful
Ice: Not Useful
Beanie: Useful
Pants: Useful
Bikini: Not Useful",classification
Which is a species of fish? Boar or Boarfish,,Boarfish,classification
"Which of these animals can be pets? Wolf, dog, rabbit, squirrel, cat, lion.",,"While most animals can be domesticated, dogs, rabbits and cats are common pets.",classification
